rpc_id,rental_date,returning_date,trip_duration_days
861,2022-05-25,2022-09-15,113.0
3240,2020-01-10,2020-03-26,76.0
3704,2020-08-03,2020-12-30,149.0
3388,2020-01-08,2020-04-05,88.0
424,2020-04-09,2020-09-13,157.0
1032,2020-08-15,2020-10-29,75.0
1297,2024-05-16,2024-10-10,147.0
3786,2021-09-04,2021-12-11,98.0
4573,2020-04-18,2020-07-21,94.0
4542,2024-01-23,2024-04-15,83.0
3342,2022-09-04,2023-01-05,123.0
813,2020-12-11,2021-03-09,88.0
3239,2022-03-17,2022-08-17,153.0
4776,2022-06-23,2022-09-09,78.0
3410,2020-06-04,2020-12-26,205.0
1379,2020-01-10,2020-04-06,87.0
2335,2024-09-23,,
3141,2021-08-03,2021-11-15,104.0
3256,2023-12-17,2024-02-24,69.0
2567,2021-11-20,2022-02-22,94.0
4101,2023-08-15,2023-10-17,63.0
220,2021-06-03,2021-08-28,86.0
152,2023-10-05,2023-12-30,86.0
2423,2022-07-15,2022-10-03,80.0
2287,2020-01-12,2020-04-04,83.0
354,2022-06-06,2022-11-19,166.0
3873,2024-03-04,2024-06-05,93.0
4696,2020-01-14,2020-03-21,67.0
762,2022-09-04,2022-12-10,97.0
1746,2022-05-24,2022-09-07,106.0
1844,2021-05-12,2021-09-02,113.0
3804,2023-08-21,2023-11-18,89.0
3833,2022-02-06,2022-06-05,119.0
2548,2024-09-25,,
908,2024-05-29,2024-08-23,86.0
422,2023-12-05,2024-03-18,104.0
1411,2022-03-27,2022-06-15,80.0
4816,2021-07-21,2021-12-15,147.0
767,2024-04-07,2024-07-13,97.0
3798,2021-04-06,2021-06-27,82.0
2762,2021-12-01,2022-02-17,78.0
984,2022-02-25,2022-08-11,167.0
3525,2021-03-20,2021-07-07,109.0
2215,2020-11-07,2021-02-14,99.0
3087,2020-01-14,2020-04-14,91.0
3563,2023-03-09,2023-07-28,141.0
3029,2020-07-14,2020-11-06,115.0
4138,2022-10-24,2023-02-21,120.0
2026,2021-08-07,2021-12-19,134.0
3822,2024-04-24,2024-08-30,128.0
92,2022-03-21,2022-05-17,57.0
4719,2024-07-18,2024-11-15,120.0
1366,2020-05-17,2020-09-14,120.0
1619,2023-07-24,2023-10-23,91.0
348,2020-04-10,2020-07-21,102.0
1943,2020-12-11,2021-04-14,124.0
1134,2020-05-15,2020-09-13,121.0
1755,2020-06-22,2020-09-07,77.0
4653,2022-12-23,2023-06-07,166.0
3259,2020-09-17,2021-03-05,169.0
4996,2024-08-28,,
2647,2024-07-29,2024-10-25,88.0
4396,2020-01-14,2020-04-18,95.0
2103,2024-06-27,2024-10-26,121.0
1925,2021-02-20,2021-05-31,100.0
2030,2020-12-17,2021-03-15,88.0
3842,2022-07-23,2022-11-18,118.0
3000,2024-07-10,2024-11-01,114.0
3689,2020-11-11,2021-03-13,122.0
3732,2021-03-10,2021-06-27,109.0
4613,2024-02-04,2024-05-15,101.0
2679,2021-10-09,2022-01-27,110.0
3035,2024-07-17,2024-10-26,101.0
275,2022-11-20,2023-01-24,65.0
573,2022-08-04,2023-01-16,165.0
3378,2020-12-10,2021-05-03,144.0
3737,2022-08-04,2022-12-11,129.0
1142,2022-02-10,2022-05-09,88.0
1639,2024-04-13,2024-08-17,126.0
2188,2022-07-04,2022-10-06,94.0
457,2021-09-14,2021-12-27,104.0
3394,2022-07-02,2022-08-21,50.0
909,2021-06-10,2021-09-06,88.0
2530,2021-07-16,2021-10-28,104.0
343,2023-10-01,2024-02-23,145.0
2093,2023-01-31,2023-04-16,75.0
2034,2020-05-02,2020-08-01,91.0
232,2022-11-11,2023-01-14,64.0
4407,2022-01-03,2022-05-07,124.0
4573,2024-10-09,,
2608,2023-09-15,2024-01-02,109.0
190,2022-01-05,2022-05-17,132.0
25,2020-10-29,2021-02-10,104.0
4206,2024-11-12,,
2132,2024-04-05,2024-08-23,140.0
4064,2024-10-08,,
1364,2020-05-14,2020-07-30,77.0
4116,2021-05-26,2021-08-22,88.0
3869,2021-07-07,2021-11-18,134.0
1609,2022-05-23,2022-11-11,172.0
4435,2024-10-11,,
1045,2022-05-21,2022-10-04,136.0
2138,2021-01-01,2021-05-06,125.0
3351,2021-08-16,2021-11-08,84.0
4371,2023-06-13,2023-09-12,91.0
1430,2020-01-10,2020-04-29,110.0
467,2022-07-19,2022-10-03,76.0
3322,2022-10-13,2023-01-31,110.0
2264,2023-12-06,2024-02-25,81.0
3608,2022-09-24,2022-12-28,95.0
4188,2021-05-12,2021-09-22,133.0
1201,2020-10-24,2021-02-07,106.0
451,2023-03-26,2023-07-19,115.0
2480,2020-01-07,2020-04-05,89.0
3550,2020-08-10,2020-12-19,131.0
3300,2022-03-27,2022-07-27,122.0
798,2022-08-14,2023-01-29,168.0
4682,2021-03-23,2021-06-26,95.0
1177,2021-07-13,2021-11-10,120.0
4792,2020-01-12,2020-03-22,70.0
1438,2020-01-06,2020-04-07,92.0
1457,2023-03-15,2023-07-01,108.0
80,2024-10-11,,
4008,2020-10-27,2021-03-22,146.0
1499,2022-08-13,2022-11-15,94.0
2863,2020-09-11,2021-02-07,149.0
1084,2020-03-23,2020-05-19,57.0
2459,2020-06-10,2020-09-12,94.0
4934,2020-04-18,2020-07-30,103.0
1611,2022-03-06,2022-08-18,165.0
4771,2020-01-03,2020-04-01,89.0
2320,2021-11-18,2022-02-04,78.0
4476,2023-12-25,2024-04-17,114.0
724,2020-10-30,2021-02-06,99.0
2053,2021-05-03,2021-09-25,145.0
2316,2020-01-02,2020-03-08,66.0
1119,2023-08-05,2023-10-15,71.0
948,2021-01-13,2021-06-04,142.0
4699,2021-10-03,2021-12-03,61.0
566,2022-07-20,2022-11-24,127.0
3091,2021-04-19,2021-08-22,125.0
342,2024-11-13,,
360,2022-09-22,2023-02-24,155.0
2371,2021-01-01,2021-05-28,147.0
902,2021-01-26,2021-05-09,103.0
3003,2020-08-05,2020-11-01,88.0
4988,2022-02-14,2022-06-15,121.0
31,2020-08-13,2020-11-20,99.0
2766,2024-04-06,2024-09-04,151.0
3019,2023-10-24,2024-02-17,116.0
4351,2023-09-26,2023-12-06,71.0
3635,2024-05-13,2024-07-26,74.0
2283,2021-10-02,2022-01-01,91.0
3310,2021-02-10,2021-04-10,59.0
1869,2024-04-13,2024-07-28,106.0
4764,2023-03-05,2023-06-06,93.0
1832,2021-01-06,2021-05-21,135.0
3129,2024-09-23,,
3196,2022-03-07,2022-05-18,72.0
3078,2020-01-09,2020-03-17,68.0
342,2023-11-08,2023-12-24,46.0
4075,2023-03-20,2023-06-22,94.0
1675,2021-03-07,,
3219,2021-06-10,2021-08-27,78.0
3127,2021-06-09,2021-09-12,95.0
4498,2020-09-23,2020-12-17,85.0
3960,2020-04-20,2020-06-27,68.0
4564,2023-06-16,2023-09-28,104.0
1387,2020-04-10,2020-09-17,160.0
4535,2020-01-05,2020-03-26,81.0
3656,2024-01-28,2024-07-05,159.0
1038,2024-01-10,2024-03-23,73.0
3457,2023-10-01,2024-02-05,127.0
4282,2023-09-08,2023-11-18,71.0
4197,2020-11-09,2021-03-03,114.0
785,2022-06-26,2022-10-17,113.0
4955,2024-06-08,2024-10-05,119.0
2312,2020-11-11,2021-02-28,109.0
2612,2022-12-24,2023-03-28,94.0
4209,2020-07-05,2020-10-03,90.0
3849,2020-08-30,2021-01-10,133.0
592,2024-04-04,2024-07-04,91.0
4013,2022-08-12,2023-01-05,146.0
3518,2023-05-07,2023-10-24,170.0
1538,2024-03-02,2024-07-03,123.0
2974,2021-05-08,2021-08-16,100.0
533,2023-01-07,2023-03-25,77.0
1480,2023-12-01,2024-03-27,117.0
2429,2022-10-30,2023-03-05,126.0
1132,2023-10-08,2023-12-14,67.0
3746,2020-06-06,2020-09-15,101.0
4924,2022-06-03,2022-11-04,154.0
4629,2021-10-20,2022-01-26,98.0
2861,2023-10-21,2024-02-19,121.0
1327,2020-01-05,2020-05-29,145.0
3823,2024-02-15,2024-05-09,84.0
286,2020-09-30,2020-11-26,57.0
3130,2022-06-12,2022-10-04,114.0
605,2024-06-24,2024-09-14,82.0
2628,2023-11-13,2024-02-13,92.0
4464,2023-08-10,2023-12-14,126.0
591,2020-01-02,2020-03-16,74.0
3195,2020-12-21,2021-04-21,121.0
1641,2021-10-17,2022-01-18,93.0
2485,2023-02-26,2023-05-14,77.0
4359,2020-05-05,2020-07-23,79.0
1208,2023-12-21,2024-03-26,96.0
1395,2020-07-25,2020-11-09,107.0
2011,2022-09-03,2022-12-03,91.0
4810,2023-08-21,2023-12-15,116.0
416,2020-03-22,2020-07-10,110.0
3327,2021-01-20,2021-04-14,84.0
3051,2022-11-08,2023-02-18,102.0
2579,2024-08-28,,
3854,2024-02-24,2024-08-22,180.0
4106,2020-10-26,2021-01-19,85.0
3591,2023-12-15,2024-03-12,88.0
3552,2024-06-22,2024-10-05,105.0
1295,2023-03-27,2023-07-07,102.0
556,2021-11-08,2022-02-20,104.0
1736,2020-01-18,2020-05-21,124.0
4238,2022-01-26,2022-05-10,104.0
2411,2020-10-30,2021-02-23,116.0
2583,2021-04-29,2021-09-01,125.0
3154,2020-11-11,2021-02-28,109.0
2299,2024-10-22,,
1647,2024-08-30,,
392,2021-01-13,2021-05-05,112.0
4603,2020-01-03,2020-10-11,282.0
2379,2023-04-24,2023-08-04,102.0
1580,2020-05-12,2020-07-15,64.0
4217,2020-10-28,2021-03-23,146.0
3704,2023-12-06,2024-02-20,76.0
1885,2020-10-10,2021-02-15,128.0
393,2022-12-02,2023-03-14,102.0
3311,2021-02-25,2021-06-15,110.0
4128,2024-05-03,2024-08-15,104.0
596,2021-06-24,2021-10-29,127.0
632,2023-07-01,2023-10-11,102.0
148,2020-01-09,2020-05-10,122.0
2742,2021-06-04,2021-09-26,114.0
3914,2021-05-03,2021-09-15,135.0
2301,2020-08-22,2021-01-19,150.0
632,2022-12-13,2023-03-28,105.0
1995,2023-07-25,2023-12-22,150.0
3768,2022-05-31,2022-08-14,75.0
2242,2020-01-06,2020-04-16,101.0
3823,2020-01-15,2020-06-01,138.0
410,2023-01-09,2023-06-08,150.0
2987,2024-01-30,2024-04-22,83.0
908,2020-01-16,2020-06-09,145.0
1154,2022-12-18,2023-03-30,102.0
2178,2020-07-22,2020-11-08,109.0
2953,2023-11-24,2024-01-23,60.0
523,2020-08-13,2021-01-12,152.0
4768,2020-09-03,2020-11-09,67.0
1187,2020-08-19,2021-01-15,149.0
3999,2022-05-24,2022-08-04,72.0
3711,2023-03-16,2023-05-21,66.0
2763,2024-06-13,2024-08-23,71.0
2756,2020-03-21,2020-06-29,100.0
1830,2020-01-02,2020-08-28,239.0
2870,2022-03-02,2022-06-05,95.0
896,2021-09-26,2021-12-14,79.0
690,2022-02-27,2022-05-11,73.0
2256,2023-03-22,2023-06-26,96.0
4053,2021-12-08,2022-01-25,48.0
3809,2022-08-28,2022-12-23,117.0
4212,2020-08-03,2020-11-13,102.0
4824,2021-10-08,2022-01-09,93.0
1380,2020-03-27,2020-05-25,59.0
371,2022-06-29,2022-09-25,88.0
1010,2024-06-23,2024-09-24,93.0
3401,2021-09-18,2021-12-04,77.0
148,2020-12-04,2021-03-05,91.0
2523,2023-12-30,2024-03-02,63.0
2419,2021-10-04,2021-11-16,43.0
498,2022-06-24,2022-12-01,160.0
2103,2022-10-23,2023-04-19,178.0
3191,2020-10-09,2021-01-17,100.0
3605,2021-09-07,2021-12-03,87.0
3378,2023-03-18,2023-07-13,117.0
344,2020-09-10,2021-01-15,127.0
1337,2024-02-13,2024-04-20,67.0
1527,2022-11-23,2023-02-28,97.0
554,2023-11-13,2024-01-31,79.0
1612,2022-03-11,2022-07-25,136.0
779,2023-08-07,2023-11-22,107.0
4966,2024-01-24,2024-05-30,127.0
3172,2021-10-21,2022-01-28,99.0
3154,2024-05-22,2024-07-25,64.0
489,2021-05-15,2021-10-10,148.0
404,2020-12-19,2021-03-28,99.0
984,2022-08-18,2022-10-22,65.0
2664,2023-08-22,2023-11-30,100.0
2027,2022-03-17,2022-07-06,111.0
1043,2024-06-12,2024-09-28,108.0
2741,2020-05-10,2020-08-10,92.0
4476,2020-10-15,2021-02-20,128.0
462,2023-01-24,2023-03-29,64.0
1350,2021-01-06,2021-03-21,74.0
1012,2024-01-29,2024-06-27,150.0
370,2020-10-17,2021-01-14,89.0
2671,2021-08-21,2021-11-01,72.0
29,2022-01-18,2022-04-25,97.0
3934,2024-01-16,2024-03-14,58.0
4733,2020-11-02,2021-02-08,98.0
3456,2024-06-14,2024-08-18,65.0
461,2021-06-28,2021-11-23,148.0
2945,2022-02-12,2022-06-06,114.0
4913,2020-01-17,2020-05-22,126.0
1709,2023-10-17,2024-02-01,107.0
304,2023-12-13,2024-04-18,127.0
823,2021-02-11,2021-05-17,95.0
966,2020-07-20,2020-10-03,75.0
2278,2023-12-25,2024-05-27,154.0
1536,2024-01-12,2024-03-23,71.0
3957,2021-03-19,2021-07-13,116.0
98,2020-01-18,2020-04-10,83.0
2405,2023-01-08,2023-05-04,116.0
526,2021-08-09,2021-11-15,98.0
3727,2020-04-22,2020-08-19,119.0
4604,2023-11-21,2024-03-29,129.0
4509,2020-01-15,2020-05-10,116.0
1346,2021-09-18,2021-12-31,104.0
1143,2022-04-05,2022-07-05,91.0
875,2023-05-04,2023-09-26,145.0
4901,2024-04-26,2024-07-05,70.0
3214,2022-02-09,2022-06-26,137.0
1227,2023-12-22,2024-04-19,119.0
4112,2020-01-03,2020-03-30,87.0
4517,2020-04-05,2020-06-02,58.0
467,2024-01-23,2024-04-22,90.0
1171,2024-03-31,2024-06-05,66.0
1966,2023-02-02,2023-04-12,69.0
1524,2022-02-19,2022-07-07,138.0
3982,2023-11-26,2024-03-07,102.0
4796,2021-01-22,2021-05-03,101.0
4089,2023-01-14,2023-03-15,60.0
127,2020-05-22,2020-07-25,64.0
4928,2020-01-03,2020-03-13,70.0
1790,2021-02-03,2021-04-08,64.0
1395,2020-03-16,2020-07-06,112.0
4886,2021-06-20,2021-09-06,78.0
853,2023-11-12,2024-02-19,99.0
3211,2024-03-15,2024-05-30,76.0
1363,2024-09-27,,
1174,2021-07-15,2021-09-22,69.0
3791,2022-11-23,2023-03-19,116.0
2170,2024-03-24,2024-07-30,128.0
2135,2024-09-23,,
1279,2021-10-23,2022-02-08,108.0
2597,2022-04-05,2022-06-27,83.0
4900,2024-01-22,2024-04-28,97.0
397,2021-05-14,2021-09-08,117.0
1352,2023-08-10,2023-11-14,96.0
2448,2024-01-09,2024-09-08,243.0
803,2024-08-07,,
2971,2024-03-07,2024-06-07,92.0
4281,2020-06-02,2020-10-11,131.0
4259,2024-03-05,2024-06-04,91.0
362,2024-09-25,,
4496,2020-01-11,2020-06-06,147.0
2513,2023-07-21,2023-12-22,154.0
3937,2023-09-16,2024-01-04,110.0
3287,2023-01-23,2023-06-22,150.0
3506,2024-01-01,2024-04-14,104.0
4685,2022-03-16,2022-07-07,113.0
1118,2024-08-05,,
1586,2020-08-18,2020-11-24,98.0
1368,2020-08-15,2020-10-15,61.0
3015,2020-01-06,2020-04-15,100.0
2852,2023-02-04,2023-06-01,117.0
3923,2021-12-28,2022-04-10,103.0
2341,2022-11-02,2023-03-04,122.0
619,2020-06-16,2020-09-28,104.0
2870,2020-05-19,2020-08-03,76.0
3257,2022-02-23,2022-06-17,114.0
379,2021-09-23,2021-12-09,77.0
3386,2020-12-18,2021-03-26,98.0
3807,2023-02-04,2023-06-11,127.0
2641,2020-01-01,2020-03-28,87.0
1654,2022-03-06,2022-06-04,90.0
3829,2021-03-12,2021-06-09,89.0
4535,2020-04-06,2020-10-05,182.0
3457,2020-06-10,2020-10-17,129.0
374,2024-04-12,2024-10-10,181.0
852,2020-04-12,2020-07-14,93.0
4311,2024-08-22,,
3362,2021-05-10,2021-08-07,89.0
247,2020-12-08,2021-03-10,92.0
1008,2022-10-30,2023-01-25,87.0
3217,2020-07-18,2020-10-01,75.0
1881,2020-09-19,2020-12-15,87.0
4842,2020-05-09,2020-10-01,145.0
223,2022-08-25,2022-12-04,101.0
4827,2023-11-05,2024-02-02,89.0
3202,2021-01-21,2021-05-06,105.0
2919,2023-01-01,2023-04-30,119.0
4664,2024-07-22,2024-10-14,84.0
3698,2021-08-17,2021-11-21,96.0
1460,2021-11-26,2022-03-21,115.0
3905,2020-06-10,2020-10-14,126.0
1227,2022-06-16,2022-09-06,82.0
3982,2020-08-21,2021-05-01,253.0
512,2023-02-11,2023-05-12,90.0
2559,2023-03-07,2023-05-14,68.0
4437,2021-09-21,2021-12-16,86.0
3710,2023-09-25,2024-01-16,113.0
3893,2022-09-12,2022-12-07,86.0
4150,2020-12-09,2021-04-13,125.0
4757,2021-03-25,2021-08-31,159.0
3595,2022-01-05,2022-04-05,90.0
1184,2021-05-10,2021-09-18,131.0
1097,2021-12-19,2022-03-29,100.0
1298,2024-10-14,,
1451,2022-12-30,2023-03-19,79.0
4469,2020-01-10,2020-06-16,158.0
474,2021-12-23,2022-05-21,149.0
815,2024-03-02,2024-06-23,113.0
4389,2023-12-02,2024-02-03,63.0
1870,2022-05-31,2022-09-24,116.0
771,2020-05-11,2020-07-24,74.0
4158,2022-12-28,2023-04-09,102.0
3170,2021-01-21,2021-06-19,149.0
4679,2023-10-21,2024-03-04,135.0
3735,2023-03-24,2023-06-20,88.0
1826,2020-11-03,2021-03-06,123.0
1228,2023-05-31,2023-07-31,61.0
1099,2020-05-30,2020-08-06,68.0
2470,2022-11-14,2023-04-27,164.0
690,2022-11-19,2023-03-18,119.0
2559,2020-01-18,2020-05-19,122.0
3075,2021-07-12,2021-10-04,84.0
3372,2024-04-03,,
2754,2020-06-01,2020-09-28,119.0
4398,2020-12-07,2021-03-22,105.0
3144,2023-12-12,2024-04-22,132.0
458,2023-09-02,2023-12-13,102.0
691,2024-04-08,2024-08-19,133.0
2889,2021-01-22,2021-04-12,80.0
2415,2023-09-11,2023-12-16,96.0
4299,2020-01-20,2020-04-13,84.0
3834,2023-08-26,2023-11-23,89.0
646,2023-08-10,2023-11-20,102.0
4852,2020-05-21,2020-10-05,137.0
3669,2020-09-13,2021-02-16,156.0
2251,2023-12-20,2024-05-18,150.0
893,2023-12-10,2024-03-26,107.0
2256,2024-04-05,2024-08-04,121.0
4620,2022-03-06,2022-07-02,118.0
2062,2020-01-06,2020-04-04,89.0
2506,2024-03-18,2024-06-13,87.0
555,2023-03-04,2023-07-09,127.0
924,2020-04-04,2020-06-20,77.0
368,2023-01-14,2023-05-30,136.0
2663,2024-02-11,2024-07-16,156.0
4943,2023-05-08,2023-08-29,113.0
2865,2023-05-17,2023-08-01,76.0
2209,2024-09-17,,
1429,2022-02-09,2022-06-04,115.0
4229,2023-08-07,2023-11-04,89.0
3729,2021-07-17,2021-12-06,142.0
572,2021-08-02,2021-11-02,92.0
1135,2022-09-20,2022-12-27,98.0
3640,2022-11-05,2023-02-16,103.0
4237,2022-04-08,2022-06-10,63.0
2814,2020-01-05,2020-05-08,124.0
2477,2021-07-25,2021-10-19,86.0
1993,2021-04-13,2021-07-19,97.0
3557,2020-01-17,2020-03-22,65.0
4938,2021-01-26,2021-05-28,122.0
4963,2024-09-14,,
1450,2022-11-06,2023-01-19,74.0
2077,2021-12-25,2022-04-25,121.0
3481,2020-11-06,2021-01-22,77.0
2431,2022-04-29,2022-06-20,52.0
26,2024-04-03,2024-08-28,147.0
3257,2022-11-26,2023-04-07,132.0
4450,2023-10-27,2024-01-16,81.0
798,2020-04-27,2020-09-17,143.0
3385,2020-04-16,2020-06-14,59.0
4391,2024-01-23,2024-04-15,83.0
99,2023-09-08,2023-11-27,80.0
1598,2022-08-09,2023-02-05,180.0
3327,2020-10-14,2021-01-08,86.0
1220,2020-06-25,2020-09-04,71.0
3080,2023-10-10,2024-01-19,101.0
1779,2021-02-22,2021-05-25,92.0
4475,2023-10-24,2024-01-26,94.0
4022,2020-11-05,2021-02-02,89.0
264,2022-11-24,2023-03-21,117.0
2366,2020-01-03,2020-04-19,107.0
2976,2020-01-17,2020-05-11,115.0
1111,2023-06-25,2023-10-12,109.0
187,2023-01-15,2023-03-27,71.0
1494,2021-01-01,2021-04-29,118.0
3815,2021-05-02,2021-08-12,102.0
4376,2022-06-08,2022-10-07,121.0
3262,2024-05-25,2024-08-24,91.0
3594,2023-01-23,2023-04-23,90.0
2038,2020-01-03,2020-04-09,97.0
3618,2020-08-20,2020-11-05,77.0
3496,2021-08-09,2021-12-28,141.0
1929,2021-08-11,2021-11-02,83.0
3627,2022-09-06,2022-11-17,72.0
2522,2021-01-01,2021-03-25,83.0
293,2020-08-30,2021-03-01,183.0
4225,2021-03-13,2021-05-31,79.0
1045,2022-01-18,2022-05-08,110.0
1275,2020-05-28,2020-08-09,73.0
4650,2021-01-23,2021-04-18,85.0
4012,2021-03-02,2021-06-20,110.0
1745,2023-10-19,2024-01-16,89.0
452,2023-07-24,2023-11-19,118.0
978,2021-12-14,2022-03-08,84.0
3000,2020-07-09,2020-10-14,97.0
4956,2023-01-29,2023-03-28,58.0
143,2020-08-01,2020-11-06,97.0
1297,2021-03-30,2021-08-23,146.0
4365,2022-01-25,2022-03-29,63.0
2749,2023-07-19,2023-10-19,92.0
3979,2024-07-30,2024-11-07,100.0
2701,2021-07-26,2021-11-19,116.0
2850,2022-03-18,2022-06-28,102.0
4246,2022-07-17,2022-11-30,136.0
2663,2022-01-21,2022-04-17,86.0
1887,2020-01-01,2020-03-02,61.0
2699,2020-07-28,2020-11-23,118.0
4274,2024-05-15,2024-08-18,95.0
4640,2020-04-11,2020-07-01,81.0
3252,2023-12-20,2024-04-05,107.0
